rule,severity,message,file,line
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/BiblatexNonStandardEntryType.java,9.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/BiblatexNonStandardEntryType.java,10.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/BiblatexNonStandardEntryType.java,11.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/BiblatexNonStandardEntryType.java,12.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/BiblatexNonStandardEntryType.java,13.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/BiblatexNonStandardEntryType.java,14.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/BiblatexNonStandardEntryType.java,15.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/BiblatexNonStandardEntryType.java,16.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/BiblatexNonStandardEntryType.java,17.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/BiblatexNonStandardEntryType.java,18.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/BiblatexNonStandardEntryType.java,19.0
java:S115,CRITICAL,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,jabref-entry:types/BiblatexNonStandardEntryType.java,20.0
java:S3776,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 25 to the 15 allowed.,jabref-entry:Date.java,127.0
java:S1192,CRITICAL,"Define a constant instead of duplicating this literal "" and "" 8 times.",jabref-entry:AuthorList.java,153.0
java:S3776,CRITICAL,Refactor this method to reduce its Cognitive Complexity from 89 to the 15 allowed.,jabref-entry:BibEntry.java,188.0
java:S2975,BLOCKER,"Remove this ""clone"" implementation; use a copy constructor or copy factory instead.",jabref-entry:BibtexString.java,160.0
java:S1192,CRITICAL,"Define a constant instead of duplicating this literal ""Invalid Date format"" 3 times.",jabref-entry:Date.java,220.0
java:S1192,CRITICAL,"Define a constant instead of duplicating this literal ""Invalid Date format range"" 3 times.",jabref-entry:Date.java,174.0
java:S1192,CRITICAL,"Define a constant instead of duplicating this literal ""Fields {} already added to type {}."" 3 times.",jabref-entry:BibEntryTypeBuilder.java,41.0
