"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.jabref.model.entry",".\Author.java","3","95","Avoid using literals such as '.' in if statements","Error Prone","AvoidLiteralsInIfCondition"
"2","org.jabref.model.entry",".\Author.java","3","121","Avoid using literals such as '-' in if statements","Error Prone","AvoidLiteralsInIfCondition"
"3","org.jabref.model.entry",".\Author.java","3","123","Avoid appending characters as strings in StringBuffer.append.","Performance","AppendCharacterWithChar"
"4","org.jabref.model.entry",".\Author.java","3","126","Avoid using literals such as '.' in if statements","Error Prone","AvoidLiteralsInIfCondition"
"5","org.jabref.model.entry",".\Author.java","3","150","Avoid appending characters as strings in StringBuffer.append.","Performance","AppendCharacterWithChar"
"1","org.jabref.model.entry",".\AuthorList.java","3","153","The String literal ' and ' appears 8 times in this file; the first occurrence is on line 153","Error Prone","AvoidDuplicateLiterals"
"1","org.jabref.model.entry",".\BibEntry.java","1","138","Overridable method called during object construction: BibEntry.setCitationKey(String) ","Error Prone","ConstructorCallsOverridableMethod"
"2","org.jabref.model.entry",".\BibEntry.java","1","144","Overridable method called during object construction: BibEntry.setType(*EntryType) ","Error Prone","ConstructorCallsOverridableMethod"
"3","org.jabref.model.entry",".\BibEntry.java","1","150","Overridable method called during object construction: BibEntry.setCitationKey(String) ","Error Prone","ConstructorCallsOverridableMethod"
"4","org.jabref.model.entry",".\BibEntry.java","2","524","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"5","org.jabref.model.entry",".\BibEntry.java","3","721","The String literal 'N/A' appears 4 times in this file; the first occurrence is on line 721","Error Prone","AvoidDuplicateLiterals"
"6","org.jabref.model.entry",".\BibEntry.java","3","977","Avoid using implementation types like 'HashSet'; use the interface instead","Best Practices","LooseCoupling"
"7","org.jabref.model.entry",".\BibEntry.java","3","1184","A switch with less than three branches is inefficient, use a if statement instead.","Performance","TooFewBranchesForSwitch"
"1","org.jabref.model.entry",".\BibEntryTypeBuilder.java","3","31","Avoid using redundant field initializer for 'hasWarnings'","Performance","RedundantFieldInitializer"
"2","org.jabref.model.entry",".\BibEntryTypeBuilder.java","3","31","Field hasWarnings has the same name as a method","Error Prone","AvoidFieldNameMatchingMethodName"
"3","org.jabref.model.entry",".\BibEntryTypeBuilder.java","2","41","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"4","org.jabref.model.entry",".\BibEntryTypeBuilder.java","2","57","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"5","org.jabref.model.entry",".\BibEntryTypeBuilder.java","2","78","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","org.jabref.model.entry",".\BibEntryTypesManager.java","3","34","Avoid unused private fields such as 'BIBTEXENTRYTYPES'.","Best Practices","UnusedPrivateField"
